licitacao_id,item_portfolio_id,descricao_portfolio,score,tipo_match
13937032000160202619_0318/2025/2026,,CLINDAMICINA 300 MG CX/ 16 CAP (I) (G),53.33%,MÉDIO
13937032000160202619_0318/2025/2026,,CLINDAMICINA 600 MG/4ML CX/100 AMP (G),50.00%,MÉDIO
13937032000160202622_0323/2025/2026,,CAPECITABINA 500MG C/120 CPR (G),57.14%,MÉDIO
13937032000160202622_0323/2025/2026,,DEXAMETASONA 4 MG CX.C/10 CPR (G),55.81%,MÉDIO
13937032000160202622_0323/2025/2026,,DEXAMETASONA 2 MG AMP.1ML CX/100 (G),52.17%,MÉDIO
13937032000160202622_0323/2025/2026,,DEXAMETASONA CREM 1MG/G CX/100 BIS (G),52.17%,MÉDIO
13937032000160202622_0323/2025/2026,,DEXAMETASONA CREME 1MG/G CX/50 10G (G),52.17%,MÉDIO
6074731800016220251884_91574/2025,,"CARVEDILOL 12,5MG C/30 CPR (G)",73.68%,ALTO
6074731800016220251884_91574/2025,,CARVEDILOL 25MG C/30 CPR (G),69.09%,MÉDIO
6074731800016220251884_91574/2025,,"CARVEDILOL 3,125MG C/30 CPR (G)",68.97%,MÉDIO
6074731800016220251884_91574/2025,,"CARVEDILOL 6,25MG C/30 CPR (G)",66.67%,MÉDIO
6074731800016220251884_91574/2025,,DICLOF.SODIO 50 MG CX C/20,58.18%,MÉDIO
184313120006202025267_90563/2025,,DEXCLOR+BETAMETASONA (G) FR 120ML,55.81%,MÉDIO
184313120006202025267_90563/2025,,CEFALOTINA 1GR C/50 F/A S/D (G),51.28%,MÉDIO
184313120006202025267_90563/2025,,"ATROPINA 0,25% CX/100  1ML",50.00%,MÉDIO
46374500000194202512728_90136/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
110225970012442025152_03785/2025,,PENIC.G.POTASSICA 5.000.000 U CX/50 F/A,60.00%,MÉDIO
4249860000017120256539_PE 277/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
4249860000017120256538_PE 276/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,65.12%,MÉDIO
4249860000017120256538_PE 276/25/2025,,SERINGA 20 ML C/AGULHA LOCK,65.00%,MÉDIO
4249860000017120256538_PE 276/25/2025,,LIDOCAINA 2% S/V. CX/25 F/A. 20 ML (G),62.50%,MÉDIO
4249860000017120256538_PE 276/25/2025,,SERINGA 60 ML S/AGULHA LOCK,61.54%,MÉDIO
4249860000017120256538_PE 276/25/2025,,SERINGA 3 ML C/AGULHA LOCK,55.56%,MÉDIO
4249860000017120256545_PE 283/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.56%,MÉDIO
4249860000017120256542_PE 281/25/2025,,ALCOOL 70% MEDICAMENTO 1000 ML,55.00%,MÉDIO
4249860000017120256540_PE 279/25/2025,,"SORO FISIOLOGICO 0,9 % SF FR 500 ML",82.14%,ALTO
4249860000017120256540_PE 279/25/2025,,"SORO FISIOLOGICO 0,9% SF BOLSA 1000ML",77.97%,ALTO
